age,sleep_cycle,exercise_habits,climate_zone,historical_cuisine_exposure,preferred_taste
56,Irregular,Heavy,Temperate,,Salty
,Night Owl,Heavy,Temperate,Asian,Sweet
46,Night Owl,Heavy,Cold,Mixed,Sour
32,Early Bird,Heavy,Cold,Mediterranean,Salty
60,Night Owl,Moderate,Dry,Mediterranean,Sour
25,Early Bird,Heavy,Cold,Mediterranean,Sour
38,Irregular,Light,Temperate,Mixed,Sour
56,,Light,Cold,Mixed,Sour
36,Irregular,Light,Tropical,Mediterranean,Sweet
40,Early Bird,Light,Temperate,Asian,Sweet
28,Night Owl,Moderate,Cold,Mixed,Sweet
28,Irregular,Heavy,Temperate,Mixed,Sour
41,Night Owl,Heavy,Dry,Asian,Sweet
53,Night Owl,Light,Tropical,Mediterranean,Sweet
57,Irregular,,Dry,Asian,Sweet
41,Early Bird,Light,Tropical,Mixed,Sweet
20,Night Owl,Heavy,Cold,Mediterranean,Sweet
39,,Moderate,Temperate,Mediterranean,Salty
,Night Owl,Moderate,Cold,Asian,Sweet
41,Night Owl,,Dry,Mixed,Sour
61,Night Owl,Moderate,Temperate,Mixed,Sour
47,Night Owl,,Cold,Mediterranean,Sweet
55,Night Owl,Heavy,Cold,Mixed,Sour
19,Early Bird,Light,Temperate,Mediterranean,Sweet
38,Early Bird,Moderate,Temperate,Mediterranean,Salty
50,Irregular,Light,Dry,Mediterranean,Sour
29,Early Bird,Moderate,Tropical,Mixed,Sweet
39,Early Bird,Heavy,Tropical,Asian,Sweet
61,Early Bird,Moderate,Temperate,,Salty
42,Night Owl,Light,Tropical,Asian,Spicy
66,Night Owl,,Dry,Asian,Sweet
44,Irregular,Moderate,Tropical,Asian,Sweet
59,Irregular,Moderate,Temperate,Asian,Sour
45,Irregular,Heavy,Dry,Asian,Sour
33,Night Owl,Light,Temperate,Mediterranean,Sweet
,Early Bird,Heavy,Dry,Mixed,Salty
64,Early Bird,Light,Dry,Asian,Sweet
68,Night Owl,Moderate,Temperate,,Sour
61,Irregular,Moderate,Cold,Mixed,Salty
69,Irregular,Heavy,Temperate,Mediterranean,Salty
,Irregular,Moderate,Dry,Asian,Sweet
54,Night Owl,Heavy,Temperate,,Sour
68,Irregular,Moderate,Temperate,Mixed,Salty
24,Irregular,Moderate,Dry,Asian,Sweet
38,Night Owl,Light,,Mediterranean,Sweet
26,Early Bird,Heavy,Dry,Mediterranean,Sour
56,Night Owl,Heavy,Temperate,,Sweet
35,Night Owl,Moderate,Dry,Mixed,Sour
21,,Light,Dry,Mediterranean,Sweet
42,Night Owl,Light,Tropical,Mediterranean,Sweet
31,Early Bird,Heavy,Cold,Mixed,Salty
67,Irregular,Heavy,Temperate,Mixed,Salty
26,Night Owl,Moderate,Temperate,Mixed,Sweet
43,Early Bird,Heavy,,Mixed,Sour
19,Irregular,Moderate,Dry,Asian,Sweet
37,Irregular,Light,Cold,Mixed,Sour
45,Irregular,Heavy,Temperate,Mediterranean,Salty
64,Night Owl,Light,Cold,Mixed,Sweet
24,Night Owl,Light,Cold,Mixed,Sweet
61,Irregular,Moderate,Dry,,Sour
25,Irregular,Light,Dry,Asian,Sweet
64,Irregular,Moderate,,Mixed,Salty
52,Irregular,Moderate,Temperate,Asian,Sour
31,,Light,Cold,Asian,Sweet
34,Irregular,Light,Cold,Asian,Sweet
53,Early Bird,,Temperate,Asian,Sour
67,Irregular,Moderate,Tropical,Mixed,Sour
57,Night Owl,Light,Dry,Asian,Sweet
21,Night Owl,Moderate,Temperate,Asian,Sweet
19,Night Owl,Moderate,Dry,Mediterranean,Sweet
23,Irregular,Heavy,Cold,,Sour
59,Night Owl,Heavy,Temperate,Asian,Sweet
21,Early Bird,Heavy,Tropical,,Sweet
46,Irregular,Heavy,Dry,Asian,Sour
35,Night Owl,Heavy,Cold,Mixed,Sour
43,Early Bird,Moderate,Cold,Mediterranean,Salty
61,Early Bird,Moderate,Tropical,Mediterranean,Sour
51,Night Owl,Heavy,Tropical,Mixed,Sweet
27,,Light,Dry,Mediterranean,Sweet
,Night Owl,Heavy,Cold,Mediterranean,Sour
31,Early Bird,Light,Tropical,Asian,Sweet
48,Irregular,Moderate,Temperate,Mediterranean,Salty
65,Irregular,Light,Tropical,Mixed,Sweet
,Irregular,Moderate,Temperate,Asian,Sour
,Irregular,Light,Cold,Mediterranean,Sweet
31,Irregular,,Dry,Asian,Sour
40,Night Owl,Moderate,Cold,Mixed,Sour
57,Irregular,Heavy,Cold,,Salty
,,Moderate,Cold,Mixed,Salty
,Irregular,,Cold,Mixed,Salty
62,Irregular,Heavy,Dry,Mediterranean,Salty
35,Early Bird,Heavy,Tropical,Mediterranean,Sour
64,Irregular,,Dry,Asian,Sweet
41,Irregular,Light,Dry,Mixed,Sour
